t(s),Flux surface 1: solute,Flux surface 2: solute
100.0,50734361876935.05,-1.948618351771901e-12
220.0,25110840040820.777,-1.973150512384562e-09
364.0,17963136074513.176,-6.879615207360623e-07
536.8,14250297692078.494,-0.00011406265779196267
744.16,11852943771551.062,-0.010440175930423989
992.992,10126667276246.521,-0.5787852978634291
1291.5904,8800253758716.838,-20.762743903492126
1649.90848,7736781399467.096,-507.16137932319606
2079.890176,6858469887132.445,-8790.842920549583
2595.8682111999997,6117289364618.942,-111933.52677918006
3215.0418534399996,5481665000169.032,-1078555.9967350943
3958.050224127999,4929796533464.725,-8072131.141879209
4849.660268953599,4446023254288.009,-48024812.26951152
5919.592322744319,4018718798731.7256,-231929693.00748917
7203.510787293182,3639011308273.4673,-926696349.6552049
8744.212944751818,3299981544351.414,-3117562638.592319
10593.055533702181,2996167619573.7563,-8974675068.580482
12811.666640442618,2723299687977.7246,-22442024338.98418
15473.999968531141,2478226308031.069,-49428574316.48394
18668.799962237368,2258970782314.7627,-97124886923.49973
22502.559954684843,2064782325875.2454,-172270153024.17606
27103.07194562181,1895988763776.209,-278758814717.06024
32623.68633474617,1753505600203.7742,-415460654619.4588
39248.4236016954,1638037096006.319,-575222383212.8252
47198.10832203448,1549223711530.9263,-745663387350.6659
56737.72998644138,1485091335760.5383,-911731663843.4941
68185.27598372966,1442054112261.6482,-1059282308463.0818
81922.3311804756,1415468757540.4124,-1178443652346.8865
98406.79741657071,1400487404404.7458,-1265521350567.5173
118188.15689988485,1392852231704.4478,-1322788332876.1094
141925.78827986182,1389362037803.9624,-1356481409017.1934
170410.94593583417,1387942288600.138,-1374106087185.8496
204593.135123001,1387432180887.3967,-1382252061038.8503
245611.7621476012,1387271423393.142,-1385558574374.775
294834.11457712145,1387227271840.8281,-1386730467524.8887
353900.9374925457,1387216765746.6072,-1387091161027.8765
424781.1249910548,1387214611149.8264,-1387187088371.6965
509837.3499892658,1387214232115.0957,-1387209032159.1824
611904.819987119,1387214175154.0125,-1387213331971.9373
734385.7839845427,1387214175154.0125,-1387213331971.9373
881362.9407814512,1387214175154.0125,-1387213331971.9373
1057735.5289377414,1387214175154.0125,-1387213331971.9373
