t(s),Flux surface 1: solute,Flux surface 2: solute
10.0,164097369057880.06,-1.113751934636118e-06
22.0,79476465373931.88,-0.00037324995280371383
36.4,56820340299740.836,-0.04716218326773638
53.67999999999999,45070286446027.26,-3.074994419602859
74.416,37486005640167.0,-119.14690467499611
99.29919999999998,32025557701808.88,-2989.009856321464
129.15903999999998,27830269892782.336,-51553.27282745516
164.99084799999997,24466802422525.934,-639948.7669038747
207.98901759999995,21689040929686.57,-5931927.752231906
259.5868211199999,19345028027414.156,-42344326.53331537
321.5041853439999,17334876290931.342,-239036817.12920558
395.8050224127999,15589626793701.666,-1092285223.2197802
484.96602689535985,14059753111572.412,-4125401003.5355906
591.9592322744318,12708523929917.678,-13123591613.406403
720.3510787293181,11508014775668.438,-35775099564.19908
874.4212944751818,10436681319006.768,-84902996959.01541
1059.3055533702181,9477905555164.533,-177993482502.96228
1281.1666640442618,8619116166771.111,-334073592358.69366
1547.399996853114,7851144141313.25,-568294524718.6595
1866.8799962237367,7167559136919.94,-886076423836.5319
2250.255995468484,6563916456635.6045,-1279282233752.823
2710.3071945621805,6037040275908.288,-1726155155391.7249
3262.368633474616,5584494095897.131,-2195173131403.684
3924.8423601695395,5204194255478.977,-2651477651657.6724
4719.810832203447,4893912923185.984,-3063791189706.4976
5673.772998644136,4650473397153.9,-3409869304542.1885
6818.527598372963,4468792809348.703,-3679262087016.417
8192.233118047556,4341272890027.9883,-3873090840477.9907
9840.679741657066,4258027112626.325,-4001374399200.7207
11818.81568998848,4208014342363.4023,-4079001621751.825
14192.578827986175,4180632710306.0273,-4121653656839.2046
17041.09459358341,4167095955170.353,-4142775027242.448
20459.31351230009,4161104564862.6865,-4152130385986.6924
24561.176214760108,4158749382656.4043,-4155809103589.545
29483.41145771213,4157933229591.8994,-4157084075535.3057
35390.093749254556,4157685612858.866,-4157470915701.25
42478.11249910547,4157620252816.092,-4157573026699.871
50983.734998926564,4157605328748.3994,-4157596342515.5493
61190.481998711875,4157602395978.265,-4157600924384.253
73438.57839845425,4157602395978.265,-4157600924384.253
88136.2940781451,4157602395978.265,-4157600924384.253
105773.55289377412,4157602395978.265,-4157600924384.253
