t(s),Flux surface 1: solute,Flux surface 2: solute
100.0,72534455894522.84,-7.076817171630527e-10
220.0,35530124578401.34,-4.1423548945590556e-07
364.0,25407877122341.09,-8.737548760489207e-05
536.8,20154750849359.457,-0.009130575110416761
744.16,16763543920962.697,-0.5465421706869401
992.992,14321832190646.89,-20.486873494926716
1291.5904,12445791811304.96,-512.1691940710184
1649.90848,10941692419832.324,-8961.99185652636
2079.890176,9699496135952.873,-114123.63872079006
2595.8682111999997,8651259091912.532,-1092685.3723939278
3215.0418534399996,7752317389616.194,-8089941.601179934
3958.050224127999,6971834878912.777,-47470139.03686453
4849.660268953599,6287660246486.084,-225664706.51767546
5919.592322744319,5683347887810.413,-886548578.5281413
7203.510787293182,5146342745422.283,-2931006405.4446993
8744.212944751818,4666827363673.69,-8291954575.19306
10593.055533702181,4236963725605.4727,-20385844876.51417
12811.666640442618,3850380512034.301,-44182600278.315094
15473.999968531141,3501820925638.4795,-85545294938.71603
18668.799962237368,3186906992711.8794,-149800288147.56107
22502.559954684843,2902007394941.8896,-239962987256.2195
27103.07194562181,2644216709803.347,-355336256112.04504
32623.68633474617,2411447221640.247,-491090724501.03253
39248.4236016954,2202581423927.5938,-639000053316.5809
47198.10832203448,2017549919913.9368,-789028367493.2496
56737.72998644138,1857155862544.4512,-931212854397.865
68185.27598372966,1722542034253.1763,-1057316107592.1958
81922.3311804756,1614389128324.0703,-1161924027567.6028
98406.79741657071,1532131032899.4995,-1242876009169.0708
118188.15689988485,1473529764098.6736,-1301054626188.0251
141925.78827986182,1434811971867.8489,-1339653081326.6672
170410.94593583417,1411308834746.8735,-1363126992979.7996
204593.135123001,1398316665862.6436,-1376112987455.0413
245611.7621476012,1391832350906.8843,-1382596182503.0105
294834.11457712145,1388934270747.3923,-1385494089015.0298
353900.9374925457,1387783405259.035,-1386644931572.122
424781.1249910548,1387380314365.0842,-1387048019895.3145
509837.3499892658,1387256645582.1396,-1387171688434.3447
611904.819987119,1387223620163.212,-1387204713833.667
734385.7839845427,1387215987610.3997,-1387212346385.1582
881362.9407814512,1387214468885.581,-1387213865109.9382
1057735.5289377414,1387214468885.581,-1387213865109.9382
