"arc_length","solute_mu","solute_c"
0,1e+20,1e+20
4e-06,9.98e+19,9.98501e+19
8e-06,9.96e+19,9.97003e+19
1.2e-05,9.94e+19,9.95504e+19
1.6e-05,9.92e+19,9.94006e+19
2e-05,9.9e+19,9.92507e+19
2.4e-05,9.88e+19,9.91009e+19
2.8e-05,9.86e+19,9.8951e+19
3.2e-05,9.84e+19,9.88012e+19
3.6e-05,9.82e+19,9.86513e+19
4e-05,9.8e+19,9.85015e+19
4.4e-05,9.78e+19,9.83516e+19
4.8e-05,9.76e+19,9.82018e+19
5.2e-05,9.74e+19,9.80519e+19
5.6e-05,9.72e+19,9.7902e+19
6e-05,9.7e+19,9.77522e+19
6.4e-05,9.68e+19,9.76023e+19
6.8e-05,9.66e+19,9.74525e+19
7.2e-05,9.64e+19,9.73026e+19
7.6e-05,9.62e+19,9.71528e+19
8e-05,9.6e+19,9.70029e+19
8.4e-05,9.58e+19,9.68531e+19
8.8e-05,9.56e+19,9.67032e+19
9.2e-05,9.54e+19,9.65534e+19
9.6e-05,9.52e+19,9.64035e+19
0.0001,9.5e+19,9.62537e+19
0.000104,9.48e+19,9.61038e+19
0.000108,9.46e+19,9.59539e+19
0.000112,9.44e+19,9.58041e+19
0.000116,9.42e+19,9.56542e+19
0.00012,9.4e+19,9.55044e+19
0.000124,9.38e+19,9.53545e+19
0.000128,9.36e+19,9.52047e+19
0.000132,9.34e+19,9.50548e+19
0.000136,9.32e+19,9.4905e+19
0.00014,9.3e+19,9.47551e+19
0.000144,9.28e+19,9.46053e+19
0.000148,9.26e+19,9.44554e+19
0.000152,9.24e+19,9.43056e+19
0.000156,9.22e+19,9.41557e+19
0.00016,9.2e+19,9.40058e+19
0.000164,9.18e+19,9.3856e+19
0.000168,9.16e+19,9.37061e+19
0.000172,9.14e+19,9.35563e+19
0.000176,9.12e+19,9.34064e+19
0.00018,9.1e+19,9.32566e+19
0.000184,9.08e+19,9.31067e+19
0.000188,9.06e+19,9.29569e+19
0.000192,9.04e+19,9.2807e+19
0.000196,9.02e+19,9.26572e+19
0.0002,9e+19,9.25073e+19
0.000204,8.98e+19,9.23575e+19
0.000208,8.96e+19,9.22076e+19
0.000212,8.94e+19,9.20577e+19
0.000216,8.92e+19,9.19079e+19
0.00022,8.9e+19,9.1758e+19
0.000224,8.88e+19,9.16082e+19
0.000228,8.86e+19,9.14583e+19
0.000232,8.84e+19,9.13085e+19
0.000236,8.82e+19,9.11586e+19
0.00024,8.8e+19,9.10088e+19
0.000244,8.78e+19,9.08589e+19
0.000248,8.76e+19,9.07091e+19
0.000252,8.74e+19,9.05592e+19
0.000256,8.72001e+19,9.04094e+19
0.00026,8.70001e+19,9.02595e+19
0.000264,8.68e+19,9.01096e+19
0.000268,8.66001e+19,8.99598e+19
0.000272,8.64001e+19,8.98099e+19
0.000276,8.62e+19,8.96601e+19
0.00028,8.60001e+19,8.95102e+19
0.000284,8.58001e+19,8.93604e+19
0.000288,8.56001e+19,8.92105e+19
0.000292,8.54001e+19,8.90607e+19
0.000296,8.52001e+19,8.89108e+19
0.0003,8.50001e+19,8.8761e+19
0.000304,8.48001e+19,8.86111e+19
0.000308,8.46001e+19,8.84613e+19
0.000312,8.44001e+19,8.83114e+19
0.000316,8.42001e+19,8.81615e+19
0.00032,8.40001e+19,8.80117e+19
0.000324,8.38001e+19,8.78618e+19
0.000328,8.36001e+19,8.7712e+19
0.000332,8.34001e+19,8.75621e+19
0.000336,8.32001e+19,8.74123e+19
0.00034,8.30001e+19,8.72624e+19
0.000344,8.28001e+19,8.71126e+19
0.000348,8.26001e+19,8.69627e+19
0.000352,8.24001e+19,8.68129e+19
0.000356,8.22001e+19,8.6663e+19
0.00036,8.20001e+19,8.65132e+19
0.000364,8.18001e+19,8.63633e+19
0.000368,8.16001e+19,8.62134e+19
0.000372,8.14001e+19,8.60636e+19
0.000376,8.12001e+19,8.59137e+19
0.00038,8.10001e+19,8.57639e+19
0.000384,8.08001e+19,8.5614e+19
0.000388,8.06001e+19,8.54642e+19
0.000392,8.04001e+19,8.53143e+19
0.000396,8.02001e+19,8.51645e+19
0.0004,8.00001e+19,8.50146e+19
0.000404,7.98001e+19,8.48648e+19
0.000408,7.96001e+19,8.47149e+19
0.000412,7.94001e+19,8.45651e+19
0.000416,7.92001e+19,8.44152e+19
0.00042,7.90001e+19,8.42653e+19
0.000424,7.88001e+19,8.41155e+19
0.000428,7.86001e+19,8.39656e+19
0.000432,7.84001e+19,8.38158e+19
0.000436,7.82001e+19,8.36659e+19
0.00044,7.80001e+19,8.35161e+19
0.000444,7.78001e+19,8.33662e+19
0.000448,7.76001e+19,8.32164e+19
0.000452,7.74001e+19,8.30665e+19
0.000456,7.72001e+19,8.29167e+19
0.00046,7.70001e+19,8.27668e+19
0.000464,7.68001e+19,8.2617e+19
0.000468,7.66001e+19,8.24671e+19
0.000472,7.64001e+19,8.23172e+19
0.000476,7.62001e+19,8.21674e+19
0.00048,7.60001e+19,8.20175e+19
0.000484,7.58001e+19,8.18677e+19
0.000488,7.56001e+19,8.17178e+19
0.000492,7.54001e+19,8.1568e+19
0.000496,7.52001e+19,8.14181e+19
0.0005,7.50001e+19,8.12683e+19
0.000504,7.48001e+19,8.11184e+19
0.000508,7.46001e+19,8.09686e+19
0.000512,7.44001e+19,8.08187e+19
0.000516,7.42001e+19,8.06689e+19
0.00052,7.40001e+19,8.0519e+19
0.000524,7.38001e+19,8.03691e+19
0.000528,7.36001e+19,8.02193e+19
0.000532,7.34001e+19,8.00694e+19
0.000536,7.32001e+19,7.99196e+19
0.00054,7.30001e+19,7.97697e+19
0.000544,7.28001e+19,7.96199e+19
0.000548,7.26001e+19,7.947e+19
0.000552,7.24001e+19,7.93202e+19
0.000556,7.22001e+19,7.91703e+19
0.00056,7.20001e+19,7.90205e+19
0.000564,7.18001e+19,7.88706e+19
0.000568,7.16001e+19,7.87208e+19
0.000572,7.14001e+19,7.85709e+19
0.000576,7.12001e+19,7.8421e+19
0.00058,7.10001e+19,7.82712e+19
0.000584,7.08001e+19,7.81213e+19
0.000588,7.06001e+19,7.79715e+19
0.000592,7.04001e+19,7.78216e+19
0.000596,7.02001e+19,7.76718e+19
0.0006,7.00001e+19,7.75219e+19
0.000604,6.98001e+19,7.73721e+19
0.000608,6.96001e+19,7.72222e+19
0.000612,6.94001e+19,7.70724e+19
0.000616,6.92001e+19,7.69225e+19
0.00062,6.90001e+19,7.67727e+19
0.000624,6.88001e+19,7.66228e+19
0.000628,6.86001e+19,7.64729e+19
0.000632,6.84001e+19,7.63231e+19
0.000636,6.82001e+19,7.61732e+19
0.00064,6.80001e+19,7.60234e+19
0.000644,6.78001e+19,7.58735e+19
0.000648,6.76001e+19,7.57237e+19
0.000652,6.74001e+19,7.55738e+19
0.000656,6.72001e+19,7.5424e+19
0.00066,6.70001e+19,7.52741e+19
0.000664,6.68001e+19,7.51243e+19
0.000668,6.66001e+19,7.49744e+19
0.000672,6.64001e+19,7.48246e+19
0.000676,6.62001e+19,7.46747e+19
0.00068,6.60001e+19,7.45248e+19
0.000684,6.58001e+19,7.4375e+19
0.000688,6.56001e+19,7.42251e+19
0.000692,6.54001e+19,7.40753e+19
0.000696,6.52001e+19,7.39254e+19
0.0007,6.50001e+19,7.37756e+19
0.000704,6.48001e+19,7.36257e+19
0.000708,6.46001e+19,7.34759e+19
0.000712,6.44001e+19,7.3326e+19
0.000716,6.42001e+19,7.31762e+19
0.00072,6.40001e+19,7.30263e+19
0.000724,6.38001e+19,7.28765e+19
0.000728,6.36001e+19,7.27266e+19
0.000732,6.34001e+19,7.25767e+19
0.000736,6.32001e+19,7.24269e+19
0.00074,6.30001e+19,7.2277e+19
0.000744,6.28001e+19,7.21272e+19
0.000748,6.26001e+19,7.19773e+19
0.000752,6.24001e+19,7.18275e+19
0.000756,6.22001e+19,7.16776e+19
0.00076,6.20001e+19,7.15278e+19
0.000764,6.18001e+19,7.13779e+19
0.000768,6.16001e+19,7.12281e+19
0.000772,6.14001e+19,7.10782e+19
0.000776,6.12001e+19,7.09284e+19
0.00078,6.10001e+19,7.07785e+19
0.000784,6.08001e+19,7.06286e+19
