t(s),Flux surface 1: solute,Flux surface 2: solute
100.0,190494973994337.4,-905058226.239615
220.0,91847899081157.81,-10328156550.587725
364.0,65661134303464.82,-56950307520.955315
536.8,52081957505535.58,-204969313115.63724
744.16,43316271939851.26,-548532151802.35254
992.992,37002032671291.42,-1177999241748.7563
1291.5904,32143403533233.29,-2136979864381.3767
1649.90848,28236499060657.508,-3398640182788.7046
2079.890176,24999287698765.32,-4872999614824.261
2595.8682111999997,22270737433241.266,-6435389410480.846
3215.0418534399996,19965795493988.793,-7958681563036.452
3958.050224127999,18047019692046.51,-9337462199980.49
4849.660268953599,16499642509466.893,-10500944600964.715
5919.592322744319,15309488963559.842,-11416446610638.088
7203.510787293182,14448052355973.361,-12086164519186.174
8744.212944751818,13867971994474.225,-12539225355050.842
10593.055533702181,13508199467825.697,-12820742511303.594
12811.666640442618,13304568642205.855,-12980193134773.982
15473.999968531141,13200297409142.389,-13061861875962.162
18668.799962237368,13152391265993.273,-13099386726623.379
22502.559954684843,13132798808313.781,-13114733894603.992
27103.07194562181,13125719224965.383,-13120279519938.336
32623.68633474617,13123474782825.332,-13122037655072.205
39248.4236016954,13122854506839.672,-13122523535149.188
47198.10832203448,13122705954842.887,-13122639900230.57
56737.72998644138,13122675287056.186,-13122663923197.379
68185.27598372966,13122669855305.342,-13122668178043.344
81922.3311804756,13122669855305.342,-13122668178043.344
98406.79741657071,13122669855305.342,-13122668178043.344
118188.15689988485,13122669855305.342,-13122668178043.344
141925.78827986182,13122669855305.342,-13122668178043.344
170410.94593583417,13122669855305.342,-13122668178043.344
204593.135123001,13122669855305.342,-13122668178043.344
245611.7621476012,13122669855305.342,-13122668178043.344
294834.11457712145,13122669855305.342,-13122668178043.344
353900.9374925457,13122669855305.342,-13122668178043.344
424781.1249910548,13122669855305.342,-13122668178043.344
509837.3499892658,13122669855305.342,-13122668178043.344
611904.819987119,13122669855305.342,-13122668178043.344
734385.7839845427,13122669855305.342,-13122668178043.344
881362.9407814512,13122669855305.342,-13122668178043.344
1057735.5289377414,13122669855305.342,-13122668178043.344
