t(s),Flux surface 1: solute,Flux surface 2: solute
100.0,190494974347638.72,-2187051172.508099
220.0,91847909123176.52,-24752662824.5773
364.0,65661263004238.08,-134803715425.34088
536.8,52082961133647.19,-476596895546.88574
744.16,43321691612854.586,-1244735849608.993
992.992,37023891851395.95,-2589711482272.1885
1291.5904,32212728317609.83,-4517346356116.089
1649.90848,28416110493430.14,-6860792327936.968
2079.890176,25391051728186.906,-9342760299284.371
2595.8682111999997,23008010623318.13,-11678875811468.506
3215.0418534399996,21187917667144.15,-13660715370315.266
3958.050224127999,19863437787728.63,-15189394956285.914
4849.660268953599,18958778831295.34,-16265656499152.064
5919.592322744319,18386127817463.42,-16957085200537.201
7203.510787293182,18053854293084.047,-17361008769730.32
8744.212944751818,17878842351285.016,-17574383926194.973
10593.055533702181,17795907306773.797,-17675619718874.89
12811.666640442618,17760839083578.98,-17718446098761.824
15473.999968531141,17747709851885.2,-17734482668658.95
18668.799962237368,17743388774816.273,-17739760926565.7
22502.559954684843,17742146866039.66,-17741277967518.613
27103.07194562181,17741837052941.03,-17741656419128.17
32623.68633474617,17741770334852.742,-17741737918661.42
39248.4236016954,17741757992606.11,-17741752995352.168
47198.10832203448,17741756039761.336,-17741755380854.324
56737.72998644138,17741756039761.336,-17741755380854.324
68185.27598372966,17741756039761.336,-17741755380854.324
81922.3311804756,17741756039761.336,-17741755380854.324
98406.79741657071,17741756039761.336,-17741755380854.324
118188.15689988485,17741756039761.336,-17741755380854.324
141925.78827986182,17741756039761.336,-17741755380854.324
170410.94593583417,17741756039761.336,-17741755380854.324
204593.135123001,17741756039761.336,-17741755380854.324
245611.7621476012,17741756039761.336,-17741755380854.324
294834.11457712145,17741756039761.336,-17741755380854.324
353900.9374925457,17741756039761.336,-17741755380854.324
424781.1249910548,17741756039761.336,-17741755380854.324
509837.3499892658,17741756039761.336,-17741755380854.324
611904.819987119,17741756039761.336,-17741755380854.324
734385.7839845427,17741756039761.336,-17741755380854.324
881362.9407814512,17741756039761.336,-17741755380854.324
1057735.5289377414,17741756039761.336,-17741755380854.324
