"arc_length","solute_mu","solute_c"
0,1e+20,1e+20
4e-06,9.98583e+19,9.98084e+19
8e-06,9.97166e+19,9.96169e+19
1.2e-05,9.95749e+19,9.94253e+19
1.6e-05,9.94333e+19,9.92338e+19
2e-05,9.92916e+19,9.90422e+19
2.4e-05,9.91499e+19,9.88507e+19
2.8e-05,9.90082e+19,9.86591e+19
3.2e-05,9.88665e+19,9.84676e+19
3.6e-05,9.87248e+19,9.8276e+19
4e-05,9.85832e+19,9.80844e+19
4.4e-05,9.84415e+19,9.78929e+19
4.8e-05,9.82998e+19,9.77013e+19
5.2e-05,9.81581e+19,9.75098e+19
5.6e-05,9.80164e+19,9.73182e+19
6e-05,9.78747e+19,9.71267e+19
6.4e-05,9.77331e+19,9.69351e+19
6.8e-05,9.75914e+19,9.67435e+19
7.2e-05,9.74497e+19,9.6552e+19
7.6e-05,9.7308e+19,9.63604e+19
8e-05,9.71663e+19,9.61689e+19
8.4e-05,9.70246e+19,9.59773e+19
8.8e-05,9.68829e+19,9.57858e+19
9.2e-05,9.67413e+19,9.55942e+19
9.6e-05,9.65996e+19,9.54027e+19
0.0001,9.64579e+19,9.52111e+19
0.000104,9.63162e+19,9.50195e+19
0.000108,9.61745e+19,9.4828e+19
0.000112,9.60328e+19,9.46364e+19
0.000116,9.58912e+19,9.44449e+19
0.00012,9.57495e+19,9.42533e+19
0.000124,9.56078e+19,9.40618e+19
0.000128,9.54661e+19,9.38702e+19
0.000132,9.53244e+19,9.36787e+19
0.000136,9.51827e+19,9.34871e+19
0.00014,9.50411e+19,9.32955e+19
0.000144,9.48994e+19,9.3104e+19
0.000148,9.47577e+19,9.29124e+19
0.000152,9.4616e+19,9.27209e+19
0.000156,9.44743e+19,9.25293e+19
0.00016,9.43326e+19,9.23378e+19
0.000164,9.4191e+19,9.21462e+19
0.000168,9.40493e+19,9.19547e+19
0.000172,9.39076e+19,9.17631e+19
0.000176,9.37659e+19,9.15715e+19
0.00018,9.36242e+19,9.138e+19
0.000184,9.34825e+19,9.11884e+19
0.000188,9.33408e+19,9.09969e+19
0.000192,9.31992e+19,9.08053e+19
0.000196,9.30575e+19,9.06138e+19
0.0002,9.29158e+19,9.04222e+19
0.000204,9.27741e+19,9.02307e+19
0.000208,9.26324e+19,9.00391e+19
0.000212,9.24907e+19,8.98475e+19
0.000216,9.23491e+19,8.9656e+19
0.00022,9.22074e+19,8.94644e+19
0.000224,9.20657e+19,8.92729e+19
