t(s),Flux surface 1: solute,Flux surface 2: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
1000.0,3.0500377372197606e+17,0.0,1.3676691732888835e+20,3.676498264617082e-284,2.1772468495914398e-288,1.662614033898682e+20,2.57510118793468e+18,1.9542095682834477e-288,3.670743438311609e-293,1.98378829910387e-286,3.056034219066912e+20,3.676693685573903e-284,2.005561134674129e-286
2200.0,1.4749186108162304e+17,0.0,1.814351178478589e+20,7.57020414851758e-255,7.305744868989259e-259,2.98567197490417e+20,2.575394988058199e+18,4.0378313455279155e-259,1.2319015036065115e-263,6.661645720621203e-257,4.825777103263341e+20,7.570607931652115e-255,6.734704401212593e-257
3640.0,1.0917475659043155e+17,0.0,2.085301837808485e+20,6.602343709668444e-229,9.97298775296898e-233,4.286695320488073e+20,2.5754666221184993e+18,3.533937292477206e-233,1.6819299857405387e-237,9.101277654039561e-231,6.397751824517695e+20,6.602697103397697e-229,9.201009213499241e-231
5368.0,8.982277113458045e+16,0.0,2.285097527832898e+20,9.614879008887952e-206,2.1923704285391237e-209,5.63889675589818e+20,2.575502800772126e+18,5.164398559607466e-210,3.6980626698609828e-214,2.0025553028926987e-207,7.949749311738774e+20,9.615395448743905e-206,2.0244793769843575e-207
7441.6,7.745933067382693e+16,0.0,2.4473262931616917e+20,5.990786481913536e-185,1.996309466341901e-188,7.082719555529837e+20,2.5755259142944676e+18,3.2288615466929096e-189,3.368007454163694e-193,1.8252755575161077e-186,9.55580110783445e+20,5.991109368068209e-185,1.8452389889802715e-186
9929.92,6.856248901132786e+16,-1.775732112e-314,2.586719365453775e+20,3.269665811341728e-166,1.5469811579908982e-169,8.649226545246224e+20,2.575542546988195e+18,1.768130993828858e-170,2.6104947415595686e-174,1.4159742391803801e-167,1.1261701336169822e+21,3.2698426244411126e-166,1.4314443118097645e-167
12915.903999999999,6.168596722522558e+16,-2.4023667690014804e-286,2.7109664069605923e+20,2.773622499623959e-149,1.8160951629819378e-152,1.0366746327440243e+21,2.5755554026814725e+18,1.504680672539556e-153,3.065331704822037e-157,1.6642632072152337e-150,1.310346828842761e+21,2.7737729676912134e-149,1.6824244653782202e-150
16499.084799999997,5.6113905165721976e+16,-1.8390607888969527e-259,2.824559994514275e+20,5.87152238233588e-134,5.20125296573129e-137,1.2263633928725272e+21,2.57556581967951e+18,3.194938709603964e-138,8.781265749818578e-142,4.772562767135112e-135,1.5113949581436306e+21,5.87184187620684e-134,4.824576174918994e-135
20798.901759999997,5.144628612946651e+16,-4.932829267573898e-235,2.9303411394977736e+20,4.62555890171452e-120,5.433829219528986e-123,1.4369749276262943e+21,2.57557454581607e+18,2.5241333085248936e-124,9.176464365163035e-128,4.992996576600396e-121,1.732584616121887e+21,4.625811315045376e-120,5.047335786442133e-121
25958.682111999995,4.743958205809068e+16,-8.082375876859471e-213,3.0302156304198245e+20,1.9105281408764917e-107,2.9244262049978604e-110,1.6717432125163315e+21,2.575582036368362e+18,1.0453353321047618e-111,4.940161610086331e-115,2.691308086334049e-108,1.9773403575946896e+21,1.9106326744097084e-107,2.7205528424001932e-108
