x(m),solute(m-3),retention(m-3)
0,1.17471068126335E+023,1.59259638151023E+023
0.0001,1.22284844347291E+023,1.69835506955732E+023
0.0002,1.22081231646944E+023,1.7405949158073E+023
0.0003,1.21868074601267E+023,1.78785166152497E+023
0.0004,1.21644761393254E+023,1.84081054175959E+023
0.0005,1.21410680205895E+023,1.90027915496205E+023
0.0006,1.2116497449538E+023,1.96717522664473E+023
0.0007,1.20906787717896E+023,2.04256331840201E+023
0.0008,1.20635508056435E+023,2.12766706425038E+023
0.0009,1.2034978951358E+023,2.22395482500968E+023
0.001,1.2004889790892E+023,2.33309074294234E+023
0.0011,1.19731487245037E+023,2.45705710515512E+023
0.0012,1.19396456251316E+023,2.59816657993923E+023
0.0013,1.19042458930339E+023,2.75911116213099E+023
0.0014,1.18667904557885E+023,2.94309677285366E+023
0.0015,1.18271202409732E+023,3.1538922048781E+023
0.0016,1.17850517034855E+023,3.39592701334407E+023
0.0017,1.17403890618829E+023,3.67449953354308E+023
0.0018,1.16929120620422E+023,3.99583806261917E+023
0.0019,1.16423882135004E+023,4.36740676807306E+023
0.002,1.15885360804338E+023,4.79804028750396E+023
0.0021,1.15310864633586E+023,5.29832305515469E+023
0.0022,1.14696967447502E+023,5.88087073773549E+023
0.0023,1.14040120707438E+023,6.56078297901011E+023
0.0024,1.13336164057739E+023,7.35613285340243E+023
0.0025,1.12580692415945E+023,8.28855421032437E+023
0.0026,1.1176881124599E+023,9.38395138190548E+023
0.0027,1.10894769467996E+023,1.0673319017784E+024
0.0028,1.0995244891188E+023,1.21936353379389E+024
0.0029,1.08934752500347E+023,1.39889511669646E+024
0.003,1.0783372661229E+023,1.61115890954071E+024
0.0031,1.0664056108279E+023,1.86229755508953E+024
0.0032,1.05345344476313E+023,2.15951825770018E+024
0.0033,1.03936574633103E+023,2.51114172868493E+024
0.0034,1.02401770486192E+023,2.92661442265125E+024
0.0035,1.00726370790785E+023,3.41649630116163E+024
0.0036,9.88943459412638E+022,3.99215492422947E+024
0.0037,9.68873414273816E+022,4.66542283279444E+024
0.0038,9.46848001976609E+022,5.44776547759124E+024
0.0039,9.22635955691896E+022,6.3492411302356E+024
0.004,8.95977865008176E+022,7.37694686802329E+024
0.0041,8.66587399565586E+022,8.53317088656518E+024
0.0042,8.34145190885816E+022,9.8133123219592E+024
0.0043,7.98301279640144E+022,1.12039601453844E+025
0.0044,7.58678786551485E+022,1.26816205837237E+025
0.0045,7.14872688760373E+022,1.42126314651829E+025
0.0046,6.66457161629062E+022,1.57537985089791E+025
0.0047,6.13002709617756E+022,1.72555645374437E+025
0.0048,5.5408717899076E+022,1.86642120172518E+025
0.0049,4.8933980864107E+022,1.99236985104471E+025
0.005,4.18515871765383E+022,2.09730870430073E+025
0.0051,3.41643511946081E+022,2.17368793961138E+025
0.0052,2.59385938820111E+022,2.209528179955E+025
0.0053,1.74041137070482E+022,2.18014872721856E+025
0.0054,9.27408128356291E+021,2.02090499630975E+025
0.0055,3.2679593678973E+021,1.57251654729928E+025
0.0056,6.43246047969855E+020,7.89379764025759E+024
0.0057,5.27063221736103E+019,1.79956183906299E+024
0.0058,-4.02379809989646E+018,9.74559641548545E+022
0.0059,-1.2747452093812E+018,-2.15792753347871E+022
0.006,-2.98024630159495E+017,-1.28444862713214E+022
0.006,5.6686191812314E+018,5.66891285339537E+018
0.0061,5.41732146326043E+018,5.41760289908423E+018
0.0062,5.02481637978403E+018,5.02508557926767E+018
0.0063,4.60099850182511E+018,4.60125546496858E+018
0.0064,4.14271085362105E+018,4.14294334408419E+018
0.0065,3.64639266018382E+018,3.64660067796662E+018
0.0066,3.10800592925891E+018,3.10818947436139E+018
0.0067,2.52305992400575E+018,2.5232189964279E+018
0.0068,1.88643985423531E+018,1.88654998129679E+018
0.0069,1.19234691834333E+018,1.19242278365235E+018
0.007,1.62536530047241E+017,1.62547542753389E+017
0.007,8.58041539594269E+018,7.94653626636924E+020
0.0071,5.14828105205005E+018,5.30728005615555E+020
0.0072,3.26335850399522E+018,3.74723233948453E+020
0.0073,1.96161992820977E+018,2.51527761166074E+020
0.0074,1.10994006186735E+018,1.59347739800212E+020
0.0075,5.86112128470899E+017,9.44798414998952E+019
0.0076,2.85968164194807E+017,5.19192807741901E+019
0.0077,1.2741823377336E+017,2.61451433039982E+019
0.0078,5.11393364520657E+016,1.19061302894193E+019
0.0079,1.81876065678205E+016,4.82729737683875E+018
0.008,5618584786296247,1.71040786461996E+018
0.0081,1469853653313960,5.17613096226585E+017
0.0082,314350355207791,1.29837358224004E+017
0.0083,51891014828408.7,2.58310364519597E+016
0.0084,5822527867828.22,3741444550586429
0.0085,519293145731.255,568600702060603
