"arc_length","retention_mu","retention_c"
0,3.14797e+24,3.14797e+24
8.5e-06,1.66142e+23,1.66149e+23
1.7e-05,1.66464e+23,1.66478e+23
2.55e-05,1.66789e+23,1.66811e+23
3.4e-05,1.67118e+23,1.67146e+23
4.25e-05,1.67449e+23,1.67485e+23
5.1e-05,1.67784e+23,1.67827e+23
5.95e-05,1.68122e+23,1.68172e+23
6.8e-05,1.68463e+23,1.6852e+23
7.65e-05,1.68807e+23,1.68871e+23
8.5e-05,1.69154e+23,1.69226e+23
9.35e-05,1.69505e+23,1.69584e+23
0.000102,1.69858e+23,1.69946e+23
0.0001105,1.70215e+23,1.7031e+23
0.000119,1.70576e+23,1.70679e+23
0.0001275,1.7094e+23,1.7105e+23
0.000136,1.71307e+23,1.71426e+23
0.0001445,1.71678e+23,1.71804e+23
0.000153,1.72052e+23,1.72187e+23
0.0001615,1.7243e+23,1.72573e+23
0.00017,1.72812e+23,1.72962e+23
0.0001785,1.73197e+23,1.73355e+23
0.000187,1.73586e+23,1.73752e+23
0.0001955,1.73978e+23,1.74153e+23
0.000204,1.74374e+23,1.74558e+23
0.0002125,1.74774e+23,1.74966e+23
0.000221,1.75178e+23,1.75379e+23
0.0002295,1.75586e+23,1.75795e+23
0.000238,1.75998e+23,1.76215e+23
0.0002465,1.76413e+23,1.7664e+23
0.000255,1.76833e+23,1.77068e+23
0.0002635,1.77256e+23,1.775e+23
0.000272,1.77684e+23,1.77937e+23
0.0002805,1.78116e+23,1.78378e+23
0.000289,1.78552e+23,1.78823e+23
0.0002975,1.78992e+23,1.79273e+23
0.000306,1.79437e+23,1.79727e+23
0.0003145,1.79886e+23,1.80185e+23
0.000323,1.80339e+23,1.80648e+23
0.0003315,1.80797e+23,1.81115e+23
0.00034,1.81259e+23,1.81587e+23
0.0003485,1.81726e+23,1.82063e+23
0.000357,1.82197e+23,1.82544e+23
0.0003655,1.82673e+23,1.8303e+23
0.000374,1.83153e+23,1.83521e+23
0.0003825,1.83638e+23,1.84016e+23
0.000391,1.84129e+23,1.84516e+23
0.0003995,1.84623e+23,1.85021e+23
0.000408,1.85123e+23,1.85532e+23
0.0004165,1.85628e+23,1.86047e+23
0.000425,1.86138e+23,1.86567e+23
0.0004335,1.86653e+23,1.87093e+23
0.000442,1.87172e+23,1.87623e+23
0.0004505,1.87698e+23,1.88159e+23
0.000459,1.88228e+23,1.88701e+23
0.0004675,1.88764e+23,1.89247e+23
0.000476,1.89305e+23,1.898e+23
0.0004845,1.89851e+23,1.90357e+23
0.000493,1.90403e+23,1.90921e+23
0.0005015,1.9096e+23,1.9149e+23
0.00051,1.91523e+23,1.92064e+23
