t(s),Flux surface 9: solute,Flux surface 10: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
10000.0,5452393237705128.0,0.0007445862811403549,3.8651924901615206e+18,302832406.1310021,3933652.2688048533,9.364041311519513e+18,0.0,14379.03741858966,60.42724521913084,224339400.92754224,1.3229233801681078e+19,302846785.16842085,228273113.62359256
20500.0,4861288748661322.0,0.010027084850848265,4.635008400531759e+18,3317609818.762543,49112101.38513857,1.5731989961630286e+19,0.0,158092.5068521816,755.7748419045793,2826744902.3249583,2.036699836216205e+19,3317767911.2693915,2875857759.4849334
31525.0,4728664660574088.0,0.03486556685239948,5.019312633649365e+18,10322360099.826746,198359640.7930997,2.1196581187597742e+19,0.0,493957.6586820823,3058.7477282543623,11539191746.029314,2.6215893821247164e+19,10322854057.485447,11737554445.570148
43101.25,4662904196651656.0,0.03414913729968078,5.272987299457824e+18,9403078821.637611,342257231.9238762,2.6217296887388774e+19,0.0,456576.4463865658,5300.294614583063,20355962283.27293,3.1490284186846605e+19,9403535398.084013,20698224815.49146
55256.3125,4621162382377979.0,-0.102298883836405,5.462998778755522e+18,-28554978524.766403,-124525192.75043683,3.0984101576187724e+19,0.0,-1346557.9348903936,-1836.4814227830484,-5589494547.058673,3.644710035494322e+19,-28556325082.701317,-5714021576.290538
68019.128125,4591274524937322.0,-0.4408746405971471,5.615730848304565e+18,-129316276288.09178,-2348621049.374887,3.5597317954493546e+19,0.0,-6161800.448966447,-36080.19953191901,-133932481357.04382,4.1213048802798035e+19,-129322438088.54082,-136281138486.61835
81420.08453125,4568291913379830.0,-0.7974838848025492,5.74411695636032e+18,-278787401319.232,-7375499631.633572,4.011798183785708e+19,0.0,-13342141.507284299,-113743.27255117841,-429291125635.7717,4.586209879421742e+19,-278800743460.7394,-436666739010.6781
95491.08875781251,4549765365354804.0,-0.6648639484426188,5.855418946244818e+18,-396909119601.8538,-14816829017.334044,4.458690079703888e+19,0.0,-19081740.453611676,-229172.53462750456,-875788264184.3873,5.044231974328398e+19,-396928201342.3074,-890605322374.2551
110265.64319570313,4534321877033672.0,0.5140648407871452,5.954108626908113e+18,-343243230692.6589,-21330039297.923866,4.903329339027133e+19,0.0,-16659213.08101464,-331131.4720595715,-1285212396705.7708,5.498740201717923e+19,-343259889905.7397,-1306542767135.1687
125778.92535548829,4521122097579657.0,2.775816451035703,6.043130221879897e+18,42696248220.73007,-19686492795.304554,5.347921472438301e+19,0.0,1650316.6465446597,-308066.55725297565,-1235522510754.421,5.952234494626285e+19,42697898537.376465,-1255209311616.2805
142067.8716232627,4509619061872174.0,5.129215725499174,6.124523069729938e+18,879707255049.8527,863672168.0032294,5.794203411979611e+19,0.0,41622120.22890694,6733.961495624954,-82605679899.2206,6.406655718952616e+19,879748877170.0814,-81742000997.25609
159171.26520442584,4499438386011426.5,5.584875199856639,6.199757133251495e+18,2182080801014.31,52549189909.32528,6.243591925080164e+19,0.0,104057603.01045606,804032.8384832698,2928933663976.4893,6.8635676384052986e+19,2182184858617.3237,2981483657918.658
177129.82846464714,4490313618644649.5,1.9908011580366771,6.269926576964284e+18,3814036082026.5884,145405418009.3051,6.697277373438658e+19,0.0,182571095.97006676,2242097.8301383704,8454200550163.882,7.324270031135108e+19,3814218653122.56,8599608210271.027
195986.3198878795,4482049008533400.5,-6.50128579014376,6.335867729763537e+18,5472840836445.576,282414002135.26605,7.1562855422978515e+19,0.0,262743378.54925942,4371327.833970008,16757187546845.871,7.789872315274253e+19,5473103579824.136,17039605920309.004
215785.6358822735,4474496906617879.5,-17.982984315220136,6.398234257117072e+18,6704223945566.637,454180902283.3305,7.621519877218004e+19,0.0,322823647.09132767,7051128.160206795,27380247534852.7,8.26134330292972e+19,6704546769213.742,27834435488264.184
236574.91767638718,4467543443831249.0,-27.23807910643498,6.457546887062773e+18,6947398359298.5205,634035150452.2764,8.093791193605944e+19,0.0,335858857.06013983,9872628.273160022,38824658090759.77,8.739545882312234e+19,6947734218155.579,39458703113840.32
258403.66356020654,4461099117523468.0,-26.83349570511987,6.514227362395624e+18,5603145082039.041,774474563547.1761,8.573839088385016e+19,0.0,272941524.2483133,12101638.21061111,48298151043892.67,9.225261824624507e+19,5603418023563.28,49072637709078.06
281323.8467382169,4455092408790948.5,-10.033564602719498,6.568622262189742e+18,2116831464454.579,805848490147.1652,9.062347681619667e+19,0.0,107188872.62149014,12655807.728505377,51585734308425.84,9.719209907838624e+19,2116938653327.1963,52391595454380.75
305390.03907512774,4449465337089137.5,25.103443267546304,6.621020113625395e+18,-3931641180350.578,638084991594.4995,9.559957373771442e+19,0.0,-181930058.68977606,10128791.233092811,43097717224881.164,1.0222059385133995e+20,-3931823110409.262,43735812345266.89
330659.5410288841,4444170291198466.0,71.89753976140364,6.671663937780089e+18,-12737823077724.732,166168020087.292,1.0067273730853898e+20,0.0,-604249389.9495459,2872749.9412627886,16145079416975.18,1.0734440124631843e+20,-12738427327114.668,16311250309812.398
357192.51808032836,4439167724104135.0,113.411285750503,6.720760612780203e+18,-24187917878111.85,-720032534499.4535,1.0584874250635654e+20,0.0,-1154798540.3756547,-10850976.725876076,-36511729464399.38,1.1256950311913656e+20,-24189072676652.227,-37231772849875.55
385052.1439843448,4434424446873897.5,124.78619955155604,6.768487971648516e+18,-37782903205763.92,-2121070037737.9946,1.1113313532333489e+20,0.0,-1810111019.8411093,-32644590.6286516,-121798247616225.55,1.1790162329498321e+20,-37784713316783.79,-123919350298554.16
414304.75118356204,4429912346660657.5,80.43721387870549,6.815000258914681e+18,-52573990645857.99,-4107950309776.084,1.1653127220121092e+20,0.0,-2525067736.0803747,-63662807.937026784,-245106912569255.66,1.2334627246012501e+20,-52576515713593.99,-249214926541839.34
445019.9887427401,4425607410262291.5,-34.57899965600831,6.860432380635764e+18,-67111083865729.82,-6696556609655.849,1.2204834987390326e+20,0.0,-3230355738.5684776,-104212354.68733053,-408688555047117.0,1.2890878225453806e+20,-67114314221468.33,-415385215869127.56
477270.98817987717,4421488970794676.5,-211.64161013404762,6.904903256407921e+18,-79405857917260.6,-9816275548066.521,1.2768942756006681e+20,0.0,-3830621136.8614135,-153258197.38098007,-609625625288870.5,1.3459433081647576e+20,-79409688538397.5,-619442054095134.2
511134.537588871,4417539119003237.5,-408.4945796366887,6.948518495139779e+18,-86912033924802.78,-13272844127759.033,1.3345944292440906e+20,0.0,-4203440140.106032,-207836002.72811154,-837369585574326.1,1.4040796141954962e+20,-86916237364943.06,-850642637538089.1
546691.2644683146,4413742237362708.5,-547.434626631281,6.991372554844701e+18,-86527714659558.75,-16705826008502.23,1.3936322285545728e+20,0.0,-4199341881.777209,-262376306.30291697,-1070846975944582.9,1.4635459541030068e+20,-86531914001440.7,-1087553064329390.5
584025.8276917303,4410084627154180.5,-526.7671728064015,7.033550503081459e+18,-74628709588442.27,-19541824352511.44,1.4540548987227834e+20,0.0,-3643311855.963626,-307956739.31794035,-1275180493308911.8,1.524390403753603e+20,-74632352900298.2,-1294722625618161.8
623227.1190763168,4406554207526764.5,-248.30206901855283,7.075129465334487e+18,-47148034929411.99,-20945754064868.715,1.5159086487189235e+20,0.0,-2338505985.544049,-331517652.04997426,-1398146565995920.0,1.58665994337226e+20,-47150373435397.53,-1419092651578440.8
664388.4750301327,4403140271620236.0,340.5087240950738,7.116179831240396e+18,274513730863.4821,-19774507830791.953,1.579238669577594e+20,0.0,-73325595.0350061,-315108025.04264945,-1366618339460704.2,1.6504004678899886e+20,274440405268.448,-1386393162399520.2
707607.8987816393,4399833288284233.0,1196.9097366034914,7.156766279627917e+18,72037692311149.39,-14540511665918.95,1.6440891122670613e+20,0.0,3366458397.419889,-235278321.54986936,-1083447453782372.4,1.7156567750633344e+20,72041058769546.81,-1097988200726612.1
752988.2937207213,4396624739130861.0,2139.1207538591902,7.196948676676145e+18,172170781336152.75,-3397397939889.752,1.710503056039652e+20,0.0,8178201601.777403,-62811681.63607894,-425550077592616.5,1.7824725428064213e+20,172178959537754.47,-428947538344187.5
800637.7084067573,4393506980592892.5,2827.536400667709,7.236782888784055e+18,303708734350691.2,15833170812360.74,1.7785224808718156e+20,0.0,14512431660.215935,236907278.798491,755579890587727.0,1.8508903097596553e+20,303723246782351.4,771413298307367.5
850669.5938270952,4390473121036169.0,2792.633058132571,7.276321525815125e+18,467769126419509.1,45564966353458.38,1.848188261407922e+20,0.0,22428497050.161617,702435283.7739542,2629055212222265.5,1.920951476666074e+20,467791554916559.2,2674620881011008.5
903203.07351845,4387516905722931.5,1529.3270323136887,7.315614590876334e+18,662227327835267.0,88239244829425.19,1.9195402064145485e+20,0.0,31830785847.32496,1373064404.164792,5372686757673312.0,1.9926963523233038e+20,662259158621112.4,5460927375567135.0
958363.2271943726,4384632608657295.0,-1331.516458578131,7.354709971939369e+18,879860506485611.9,145945882503156.22,1.992617180003997e+20,0.0,42379212664.969284,2282922044.361905,9149930849102570.0,2.0661642797233983e+20,879902885698277.9,9295879014527760.0
1016281.3885540912,4381814939093939.5,-5781.588670891428,7.393653695036614e+18,1105812946957224.6,219791255063585.53,2.0674573615773165e+20,0.0,53366764877.13306,3451064646.327973,1.4069986647565468e+16,2.141393898527691e+20,1105866313722102.6,1.4289781353693708e+16
1077095.4579817958,4379058977987037.0,-11158.42945940659,7.432489902095301e+18,1314258323679768.5,308905026929868.94,2.14409873014848e+20,0.0,63557963609.931885,4865839652.624286,2.0123407180961484e+16,2.218423629169414e+20,1314321881643377.2,2.043231707373101e+16
1140950.2308808856,4376360160010843.5,-15904.807824395975,7.471260638592213e+18,1464260298397327.8,408958601667468.8,2.2225798873325558e+20,0.0,70988076220.4697,6461466127.561082,2.7083896733819452e+16,2.2972924937184893e+20,1464331286473548.8,2.7492861796953068e+16
1207997.74242493,4373714304633003.5,-17477.349876288943,7.510005711598186e+18,1495136515716674.8,510073403683812.2,2.3029413421294577e+20,0.0,72737444073.87117,8084842766.0715885,3.4366687824197656e+16,2.3780413992454498e+20,1495209253160748.8,3.4876769312724264e+16
1278397.6295461766,4371117674607505.5,-12557.34547087178,7.548763010393908e+18,1322153707798921.5,594056422321134.5,2.3852273394568128e+20,0.0,64720361544.71887,9451490296.275305,4.0836917816301896e+16,2.4607149695607656e+20,1322218428160469.8,4.1430983690113256e+16
1352317.5110234856,4368567011206663.0,2258.297206535478,7.587569613327017e+18,834051181748802.2,631044298565462.5,2.4694881933218152e+20,0.0,41560183459.2106,10091765224.409248,4.456991675229179e+16,2.5453638894551083e+20,834092741932261.9,4.520097114262254e+16
1429933.38657466,4366059482373461.5,29118.905473711708,7.626463601015283e+18,-105416139397131.73,575890650980152.1,2.5557828684814903e+20,0.0,-3343992378.1669755,9292453947.408134,4.2581273082479064e+16,2.6320475044916252e+20,-105419483389510.31,4.31571730259131e+16
1511430.055903393,4363592506423878.0,66851.48504289793,7.665485771032162e+18,-1648618747081358.0,365061687207302.5,2.644181212331733e+20,0.0,-77399875580.65044,6045651819.326762,3.057281585199771e+16,2.7208360700420345e+20,-1648696146956932.5,3.0937883584856812e+16
1597001.558698563,4361163490766811.0,108295.69018067076,7.704679684063226e+18,-3941914882299626.5,-84376512403463.05,2.7347646597648273e+20,0.0,-187765192677.6875,-970203088.1989224,2795533819915553.5,2.811811456605465e+20,-3942102647492296.0,2711156337309012.0
1686851.6366334911,4358769630687496.0,137602.7529721775,7.744088370327538e+18,-7081389321767819.0,-870760867058861.6,2.827623370972067e+20,0.0,-339222532096.26117,-13331030301.444016,-4.7777718594651544e+16,2.905064254675359e+20,-7081728544299918.0,-4.864849279274077e+16
1781194.2184651657,4356407979751969.0,128746.13752170459,7.78374766610856e+18,-1.1042181359071274e+16,-2094809199544537.5,2.9228471417449025e+20,0.0,-530773367401.5224,-32665592202.170288,-1.2869258637428803e+17,3.000684618406013e+20,-1.1042712132438672e+16,-1.3078742823942483e+17
1880253.9293884241,4354075925052705.5,47423.693452581756,7.823679757795598e+18,-1.5590065848137114e+16,-3833864822262115.0,3.020507714236697e+20,0.0,-751360567568.849,-60251720481.66817,-2.46387770385077e+17,3.098744511814669e+20,-1.5590817208704668e+16,-2.502216954590595e+17
1984266.6258578454,4351771913379794.0,-140427.93379808698,7.863893893028842e+18,-2.0180462444317704e+16,-6099732774642539.0,3.120629860456993e+20,0.0,-974964659897.1138,-96350005293.19286,-4.0340778690327386e+17,3.1992687993873184e+20,-2.018143740897761e+16,-4.0950761602792115e+17
2093479.9571507378,4349495894071130.5,-449711.7975338107,7.904401140545582e+18,-2.3823095024101436e+16,-8772915000931934.0,3.223145412977704e+20,0.0,-1154024911674.3474,-139158783308.71906,-5.939146601822952e+17,3.302189424383181e+20,-2.3824249049013116e+16,-6.026877143420102e+17
2208153.955008275,4347248773951319.5,-844533.6247490288,7.945243597709993e+18,-2.4932831409941868e+16,-1.1507843091945546e+16,3.327824765617404e+20,0.0,-1212156249969.0823,-183300509171.75418,-7.970299200252165e+17,3.407277201594523e+20,-2.4934043566191892e+16,-8.085379464176717e+17
2328561.6527586887,4345030550625036.5,-1197265.006273418,7.98652175842244e+18,-2.1382871771929784e+16,-1.3635255660776516e+16,3.434201854287512e+20,0.0,-1046530373020.6531,-218243028415.35803,-9.695192103005475e+17,3.5140670718717506e+20,-2.1383918302302812e+16,-9.831546842043523e+17
2454989.735396623,4342837938078082.5,-1252716.926288141,8.028379459945145e+18,-1.1137773876070724e+16,-1.4151852205170136e+16,3.541554205386109e+20,0.0,-558120737574.5447,-228070953200.10803,-1.0435963850114856e+18,3.6218379999855745e+20,-1.113833199680829e+16,-1.0577484652876069e+18
2587739.2221664544,4340663977463750.0,-628397.0119996658,8.07090643065913e+18,6443893525189665.0,-1.1918724201416186e+16,3.6490257564840074e+20,0.0,285652854307.9126,-194540118071.87155,-9.381998505729838e+17,3.729734820790561e+20,6444179178043970.0,-9.501187693145199e+17
2727126.183274777,4338502259953301.5,1095390.133541653,8.114009482187626e+18,2.9786959111657236e+16,-6017882763229268.0,3.755865442512643e+20,0.0,1410903682654.187,-102673676831.07571,-5.816887540625115e+17,3.837005537334496e+20,2.978837001533988e+16,-5.877067394994166e+17
2873482.492438516,4336354265258513.5,4125663.424489003,8.157386451824649e+18,5.6118461117525016e+16,4033801124942849.0,3.861582755706443e+20,0.0,2685564245134.5713,55795197569.82937,7.27303505066785e+16,3.943156620224653e+20,5.612114668177018e+16,7.676420742681906e+16
3027156.617060442,4334233730877238.5,8023297.059157319,8.200621017092445e+18,8.309882690362173e+16,1.834334859171937e+16,3.96593431344883e+20,0.0,3997543207014.006,283234626002.4453,1.0483949843603087e+18,4.047940523619701e+20,8.310282444682883e+16,1.0667386161866537e+18
3188514.447913464,4332164105143258.5,11233965.537285972,8.243298415213171e+18,1.0940966806869706e+17,3.681053682018253e+16,4.0688413490029055e+20,0.0,5283236063457.159,578696151323.9476,2.354463655410969e+18,4.1512743331550495e+20,1.0941495130476021e+17,2.3912747709273037e+18
3357940.1703091376,4330171430680830.5,10955345.977531867,8.285079441633849e+18,1.345187048151065e+17,5.9261202028300376e+16,4.170320709032183e+20,0.0,6516573335333.786,939990135614.4772,3.9939919463703987e+18,4.253171503448523e+20,1.3452522138844216e+17,4.0532540883888364e+18
3535837.1788245947,4328277623777385.0,3758832.279880704,8.32572856139208e+18,1.583153780120296e+17,8.551739172635566e+16,4.27044281187262e+20,0.0,7691713575985.756,1364797571553.091,5.968573956098876e+18,4.35370009748656e+20,1.5832306972560547e+17,6.054092712622802e+18
3722629.0377658247,4326496993662248.5,-12884661.362521233,8.365110750909048e+18,1.8087049583100202e+17,1.1542520642461014e+17,4.369307171317127e+20,0.0,8811574050484.617,1851125303499.615,8.28046611753113e+18,4.452958278826217e+20,1.8087930740505245e+17,8.395893175081046e+18
3918760.4896541163,4324835936132019.0,-38482085.48804623,8.403172460499099e+18,2.0231273554867587e+17,1.488619779777502e+17,4.46702735145888e+20,0.0,9881919215940.168,2397435394265.5854,1.093338126840258e+19,4.551059076063897e+20,2.0232261746789165e+17,1.1082245643815686e+19
4124698.5141368224,4323294434740191.5,-67490152.3318172,8.43991822964775e+18,2.2277717919673565e+17,1.8573549155733498e+17,4.563721044131226e+20,0.0,10908887067422.197,3002645909968.5786,1.3932711176945971e+19,4.64812022642769e+20,2.227880880838028e+17,1.4118449671149195e+19
4340933.439843664,4321868093100425.5,-88205333.2368607,8.475389395611305e+18,2.4238801168574544e+17,2.2598067865072947e+17,4.659503635121592e+20,0.0,11898140686126.666,3666088511344.877,1.7285522253220383e+19,4.744257529077682e+20,2.423999098264312e+17,1.7511506597959604e+19
4567980.111835848,4320549970807420.5,-83258544.04600817,8.509647727579057e+18,2.6125628860303888e+17,2.6955625812257094e+17,4.7544840472611966e+20,0.0,12854752705823.762,4387462799512.294,2.1000501697108886e+19,4.839580524537006e+20,2.6126914335574448e+17,2.1270062342694277e+19
4806379.117427641,4319331959615446.5,-32088701.96072325,8.542763816770842e+18,2.794815992100822e+17,3.164419412395345e+17,4.8487622220139233e+20,0.0,13783285605151.928,5166797982714.923,2.508791101303479e+19,4.934189860181632e+20,2.7949538249568806e+17,2.5404358121072284e+19
5056698.073299022,4318205697372747.0,84596064.72488676,8.574809556970233e+18,2.971478784287586e+17,3.66635088951103e+17,4.942428777266701e+20,0.0,14687561039775.979,6004404068232.204,2.9559466068371534e+19,5.028176872836385e+20,2.971625659897978e+17,2.9926107161726734e+19
5319532.976963974,4317163115704776.0,278683421.58349967,8.605853399280212e+18,3.143310098880837e+17,4.2014895797448045e+17,5.0355645057080754e+20,0.0,15571050914960.312,6900847904687.865,3.442831950179064e+19,5.121623039700891e+20,3.143465809389988e+17,3.4848475360613065e+19
5595509.625812173,4316196728982991.5,547390944.2347893,8.635958240901626e+18,3.311025545937661e+17,4.770118385694532e+17,5.128239932951159e+20,0.0,16437073879924.371,7856943371923.097,3.970910718844024e+19,5.214599515360099e+20,3.311189916676461e+17,4.018612688395304e+19
5885285.1071027815,4315299753317959.0,865535649.577272,8.66518107089547e+18,3.475220457759633e+17,5.372648008075021e+17,5.220516630483364e+20,0.0,17288381030410.506,8873718227617.621,4.541787456485321e+19,5.3071684411923536e+20,3.475393341569937e+17,4.595514823937905e+19
6189549.362457921,4314466129386645.5,1178034637.0113473,8.693571066481568e+18,3.636221450149798e+17,6.00956569328807e+17,5.312451646425072e+20,0.0,18126348735203.98,9952332010922.783,5.157173099737304e+19,5.399387357089848e+20,3.636402713637146e+17,5.217269751903397e+19
6509026.830580817,4313690463074643.5,1393289685.3926752,8.721173607937321e+18,3.7945790448260096e+17,6.68149476822778e+17,5.404092442458285e+20,0.0,18953528712883.234,11094175492789.887,5.818938055730959e+19,5.491304178537636e+20,3.794768580113136e+17,5.885754112830796e+19
6844478.172109857,4312967958900059.5,1378016415.0522773,8.748029371562528e+18,3.9511896630538624e+17,7.38923526138178e+17,5.495471600702841e+20,0.0,19774582823046.23,12300947103854.041,6.529172483921659e+19,5.5829518944184585e+20,3.951387408882096e+17,6.603066066630182e+19
